name,day,start_time,end_time
general,sunday,6:00:00,7:00:00
general,sunday,7:00:00,8:00:00
general,sunday,8:00:00,9:00:00
general,sunday,9:00:00,10:00:00
general,sunday,10:00:00,11:00:00
general,sunday,11:00:00,12:00:00
general,sunday,12:00:00,13:00:00
general,sunday,13:00:00,14:00:00
general,sunday,14:00:00,15:00:00
general,sunday,15:00:00,16:00:00
general,sunday,16:00:00,17:00:00
general,sunday,17:00:00,18:00:00
general,sunday,18:00:00,19:00:00
general,sunday,19:00:00,20:00:00
general,sunday,20:00:00,21:00:00
general,sunday,21:00:00,22:00:00
night,sunday,0:00:00,1:00:00
night,sunday,1:00:00,2:00:00
night,sunday,2:00:00,3:00:00
night,sunday,3:00:00,4:00:00
night,sunday,4:00:00,5:00:00
night,sunday,5:00:00,6:00:00
night,sunday,22:00:00,23:00:00
night,sunday,23:00:00,00:00:00
general,monday,6:00:00,7:00:00
general,monday,7:00:00,8:00:00
general,monday,8:00:00,9:00:00
general,monday,9:00:00,10:00:00
general,monday,10:00:00,11:00:00
general,monday,11:00:00,12:00:00
general,monday,12:00:00,13:00:00
general,monday,13:00:00,14:00:00
general,monday,14:00:00,15:00:00
general,monday,15:00:00,16:00:00
general,monday,16:00:00,17:00:00
general,monday,17:00:00,18:00:00
general,monday,18:00:00,19:00:00
general,monday,19:00:00,20:00:00
general,monday,20:00:00,21:00:00
general,monday,21:00:00,22:00:00
night,monday,0:00:00,1:00:00
night,monday,1:00:00,2:00:00
night,monday,2:00:00,3:00:00
night,monday,3:00:00,4:00:00
night,monday,4:00:00,5:00:00
night,monday,5:00:00,6:00:00
night,monday,22:00:00,23:00:00
night,monday,23:00:00,00:00:00
general,tuesday,6:00:00,7:00:00
general,tuesday,7:00:00,8:00:00
general,tuesday,8:00:00,9:00:00
general,tuesday,9:00:00,10:00:00
general,tuesday,10:00:00,11:00:00
general,tuesday,11:00:00,12:00:00
general,tuesday,12:00:00,13:00:00
general,tuesday,13:00:00,14:00:00
general,tuesday,14:00:00,15:00:00
general,tuesday,15:00:00,16:00:00
general,tuesday,16:00:00,17:00:00
general,tuesday,17:00:00,18:00:00
general,tuesday,18:00:00,19:00:00
general,tuesday,19:00:00,20:00:00
general,tuesday,20:00:00,21:00:00
general,tuesday,21:00:00,22:00:00
night,tuesday,0:00:00,1:00:00
night,tuesday,1:00:00,2:00:00
night,tuesday,2:00:00,3:00:00
night,tuesday,3:00:00,4:00:00
night,tuesday,4:00:00,5:00:00
night,tuesday,5:00:00,6:00:00
night,tuesday,22:00:00,23:00:00
night,tuesday,23:00:00,00:00:00
general,wednesday,6:00:00,7:00:00
general,wednesday,7:00:00,8:00:00
general,wednesday,8:00:00,9:00:00
general,wednesday,9:00:00,10:00:00
general,wednesday,10:00:00,11:00:00
general,wednesday,11:00:00,12:00:00
general,wednesday,12:00:00,13:00:00
general,wednesday,13:00:00,14:00:00
general,wednesday,14:00:00,15:00:00
general,wednesday,15:00:00,16:00:00
general,wednesday,16:00:00,17:00:00
general,wednesday,17:00:00,18:00:00
general,wednesday,18:00:00,19:00:00
general,wednesday,19:00:00,20:00:00
general,wednesday,20:00:00,21:00:00
general,wednesday,21:00:00,22:00:00
night,wednesday,0:00:00,1:00:00
night,wednesday,1:00:00,2:00:00
night,wednesday,2:00:00,3:00:00
night,wednesday,3:00:00,4:00:00
night,wednesday,4:00:00,5:00:00
night,wednesday,5:00:00,6:00:00
night,wednesday,22:00:00,23:00:00
night,wednesday,23:00:00,00:00:00
general,thursday,6:00:00,7:00:00
general,thursday,7:00:00,8:00:00
general,thursday,8:00:00,9:00:00
general,thursday,9:00:00,10:00:00
general,thursday,10:00:00,11:00:00
general,thursday,11:00:00,12:00:00
general,thursday,12:00:00,13:00:00
general,thursday,13:00:00,14:00:00
general,thursday,14:00:00,15:00:00
general,thursday,15:00:00,16:00:00
general,thursday,16:00:00,17:00:00
general,thursday,17:00:00,18:00:00
general,thursday,18:00:00,19:00:00
general,thursday,19:00:00,20:00:00
general,thursday,20:00:00,21:00:00
general,thursday,21:00:00,22:00:00
night,thursday,0:00:00,1:00:00
night,thursday,1:00:00,2:00:00
night,thursday,2:00:00,3:00:00
night,thursday,3:00:00,4:00:00
night,thursday,4:00:00,5:00:00
night,thursday,5:00:00,6:00:00
night,thursday,22:00:00,23:00:00
night,thursday,23:00:00,00:00:00
general,friday,6:00:00,7:00:00
general,friday,7:00:00,8:00:00
general,friday,8:00:00,9:00:00
general,friday,9:00:00,10:00:00
general,friday,10:00:00,11:00:00
general,friday,11:00:00,12:00:00
general,friday,12:00:00,13:00:00
general,friday,13:00:00,14:00:00
general,friday,14:00:00,15:00:00
general,friday,15:00:00,16:00:00
general,friday,16:00:00,17:00:00
general,friday,17:00:00,18:00:00
general,friday,18:00:00,19:00:00
general,friday,19:00:00,20:00:00
general,friday,20:00:00,21:00:00
general,friday,21:00:00,22:00:00
night,friday,0:00:00,1:00:00
night,friday,1:00:00,2:00:00
night,friday,2:00:00,3:00:00
night,friday,3:00:00,4:00:00
night,friday,4:00:00,5:00:00
night,friday,5:00:00,6:00:00
night,friday,22:00:00,23:00:00
night,friday,23:00:00,00:00:00
general,saturday,6:00:00,7:00:00
general,saturday,7:00:00,8:00:00
general,saturday,8:00:00,9:00:00
general,saturday,9:00:00,10:00:00
general,saturday,10:00:00,11:00:00
general,saturday,11:00:00,12:00:00
general,saturday,12:00:00,13:00:00
general,saturday,13:00:00,14:00:00
general,saturday,14:00:00,15:00:00
general,saturday,15:00:00,16:00:00
general,saturday,16:00:00,17:00:00
general,saturday,17:00:00,18:00:00
general,saturday,18:00:00,19:00:00
general,saturday,19:00:00,20:00:00
general,saturday,20:00:00,21:00:00
general,saturday,21:00:00,22:00:00
night,saturday,0:00:00,1:00:00
night,saturday,1:00:00,2:00:00
night,saturday,2:00:00,3:00:00
night,saturday,3:00:00,4:00:00
night,saturday,4:00:00,5:00:00
night,saturday,5:00:00,6:00:00
night,saturday,22:00:00,23:00:00
night,saturday,23:00:00,00:00:00
